item_id,y_clean,y_obs,contaminated,model,pi,dose
college_biology/0,0.20906831324100494,0.19299569725990295,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/1,0.3856548070907593,0.753879964351654,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/2,0.9023266434669495,0.9642331004142761,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/3,0.9148635268211365,0.9154647588729858,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/4,0.5477221012115479,0.6359279751777649,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/5,0.9969032406806946,0.9969949722290039,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/6,0.9967703819274902,0.9955377578735352,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/7,0.22394494712352753,0.17578798532485962,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/8,0.994239091873169,0.9942303895950317,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/9,0.9803741574287415,0.9883310198783875,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/10,0.49293893575668335,0.5465385317802429,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/11,0.2779228985309601,0.18560460209846497,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/12,0.3197343945503235,0.353551983833313,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/13,0.9058508276939392,0.8432154059410095,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/14,0.42996612191200256,0.38792526721954346,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/15,0.22164545953273773,0.2548869252204895,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/16,0.9729788303375244,0.9890267252922058,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/17,0.5713748931884766,0.5310733318328857,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/18,0.25187399983406067,0.3430024981498718,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/19,0.4393327534198761,0.4634726345539093,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/20,0.9979173541069031,0.9985199570655823,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/21,0.9980968832969666,0.9953964352607727,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/22,0.3172657787799835,0.24301426112651825,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/23,0.7411954998970032,0.9036387801170349,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/24,0.9962651133537292,0.9974517226219177,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/25,0.9957399368286133,0.9946163296699524,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/26,0.042604390531778336,0.048297055065631866,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/27,0.9454055428504944,0.9174913763999939,False,Qwen/Qwen2.5-1.5B,0.1,4
college_biology/28,0.7049558758735657,0.9047788381576538,False,Qwen/Qwen2.5-1.5B,0.1,4
