item_id,y_clean,y_obs,contaminated,model,pi,dose
college_biology/0,0.2064081132411956,0.1529610753059387,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/1,0.3801343441009521,0.3743676543235779,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/2,0.9031085968017578,0.945877492427826,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/3,0.9146309494972228,0.8425403237342834,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/4,0.5499411821365356,0.6040564179420471,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/5,0.9968731999397278,0.9952045679092408,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/6,0.9967592358589172,0.9904190897941588,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/7,0.2225858867168426,0.2158294320106506,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/8,0.9942660927772522,0.9916350841522216,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/9,0.9801716804504396,0.990881085395813,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/10,0.4958440363407135,0.7097876071929932,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/11,0.2788051962852478,0.2915574610233307,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/12,0.3194447755813598,0.2791298925876617,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/13,0.9053718447685242,0.9484289288520812,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/14,0.429720401763916,0.4106215834617615,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/15,0.2211002558469772,0.1746727675199508,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/16,0.9738847613334656,0.9768404960632324,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/17,0.5749072432518005,0.591600239276886,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/18,0.2545440793037414,0.3188156187534332,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/19,0.4416287243366241,0.4993172585964203,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/20,0.997912347316742,0.9979506134986876,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/21,0.9980908036231996,0.9935747981071472,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/22,0.318970263004303,0.4780213236808777,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/23,0.7416822910308838,0.8906625509262085,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/24,0.9962257146835328,0.9970431923866272,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/25,0.9957587122917176,0.9923456311225892,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/26,0.0427414365112781,0.0209745466709136,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/27,0.9456104040145874,0.9692858457565308,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/28,0.7027029395103455,0.7187739610671997,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/29,0.5579694509506226,0.6712396740913391,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/30,0.9683905839920044,0.9750933051109314,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/31,0.5422115325927734,0.4027030766010284,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/32,0.3408454060554504,0.4038099348545074,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/33,0.9537611603736876,0.9036566019058228,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/34,0.2553641200065613,0.372852474451065,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/35,0.7048394083976746,0.651864767074585,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/36,0.8208478093147278,0.8013800978660583,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/37,0.4968439638614654,0.6908946633338928,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/38,0.977508306503296,0.9743342995643616,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/39,0.1124400794506073,0.0402293354272842,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/40,0.3183232843875885,0.4363816976547241,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/41,0.3641262948513031,0.3633059561252594,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/42,0.99600750207901,0.9932242631912231,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/43,0.7051841616630554,0.7255997657775879,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/44,0.4581985771656036,0.4332226812839508,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/45,0.0599522180855274,0.0957904011011123,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/46,0.1437641829252243,0.1381194144487381,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/47,0.918129026889801,0.9411771893501282,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/48,0.6623031497001648,0.7322160601615906,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/49,0.8455824851989746,0.8774588108062744,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/50,0.7017077803611755,0.4011553823947906,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/51,0.3277090787887573,0.2358950823545456,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/52,0.6770631670951843,0.7119469046592712,False,Qwen/Qwen2.5-1.5B,0.05,1
college_biology/53,0.0514739342033863,0.0412071533501148,False,Qwen/Qwen2.5-1.5B,0.05,1
